,idno,author-short,title-short,title-full,year-performance,genre,subgenre,subgenre-simple,structure,form,decade,location,country,periode
tc0357,tc0357,Dufresny,Coquette-village,La coquette de village ou le lot supposé,1715,drama,Comédie,comédie,trois actes,vers,1710s,France,France,XVIIIème
tc0366,tc0366,Molière,Amphytrion,Amphytrion,N/A,drama,Comédie,comédie,"trois actes, un prologue",vers,N/0s,Thèbes,Grèce,Temps mythologiques
tc0368,tc0368,Scarron,Prince-corsaire,Le prince corsaire,1658,drama,Comédie,comédie,cinq actes,vers,1650s,Paphos,Chypre,XVIIème
tc0369,tc0369,Dancourt,Gazette,La gazette,1693,drama,Comédie,comédie,un acte,prose,1690s,Paris,France,XVIIème
tc0370,tc0370,Jodelle,Eugène,L'eugène,N/A,drama,Comédie,comédie,cinq actes,vers,N/0s,Alexandrie,Egypte,Ième avant JC
tc0372,tc0372,Molière,Critique-école-femmes,La critique de l'école des femmes,1663,drama,Comédie,comédie,un acte,prose,1660s,Paris,France,XVIIème
tc0373,tc0373,Patrat,Heureuse-erreur,L'heureuse erreur,1783,drama,Comédie,comédie,un acte,prose,1780s,Paris,France,XVIIIème
tc0374,tc0374,Dufresny,Chevalier-joueur,Le chevalier joueur,1697,drama,Comédie,comédie,"cinq actes, un prologue",prose,1690s,Paris,France,XVIIème
tc0375,tc0375,Dufresny,Double-veuvage,Le double veuvage,1702,drama,Comédie,comédie,"trois actes, un prologue",prose,1700s,France,France,XVIIème
tc0376,tc0376,Dancourt,Nouveau-prologue,Nouveau prologue,1704,drama,Comédie,comédie,deux actes,vers,1700s,Lieu mythologique,Pays mythologique,Temps mythologiques
tc0377,tc0377,Dancourt,Charivari,Le charivari,1697,drama,Comédie,comédie,un acte,prose,1690s,Auteuil,France,XVIIème
tc0378,tc0378,DonneauDeVisé,Cocue-imaginaire,La cocue imaginaire,1660,drama,Comédie,comédie,un acte,vers,1660s,Paris,France,XVIIème
tc0381,tc0381,LaFontaine,Eunuque,L'eunuque,(non représentée),drama,Comédie,comédie,un acte,vers,(non représentée0s,Château-Thierry,France,XVIIème
tc0382,tc0382,Chevreau,Avocat-dupé,L'avocat dupé,1637,drama,Comédie,comédie,cinq actes,vers,1630s,Paris,France,XVIIème
tc0386,tc0386,PalissotDeMontenoy,Philosophes,Les philosophes,1760,drama,Comédie,comédie,trois actes,vers,1760s,Paris,France,XVIIIème
tc0391,tc0391,Barante+Dufresny,Les-Fées,LesFées,1697,drama,Comédie,comédie,un acte,mixte,1690s,Lieu féérique,Pays féérique,Temps féériques
