role_id,civil,type,statut,age,stat_amour
tc0007-DURAND,,H,précepteur,A,néant
tc0007-UNNOTAIRE,,H,notaire,A,néant
tc0007-DOMESTIQUES,,H,domestique,A,néant
tc0611-LA-COMTESSE,,H,comte,A,néant
tc0611-LE-MARQUIS,,H,marquis,A,néant
tc0611-LE-CHEVALIER,,H,chevalier,A,néant
tc0611-DUPRE,,H,valet de chambre,A,néant
tc0144-HORTENSE,,H,bourgeois,A,néant
tc0144-CLARICE,,H,bourgeois,A,néant
tc0144-LISETTE,,H,suivante,A,néant
tc0144-ERGASTE,,H,bourgeois,A,néant
tc0144-FRONTIN,,H,valet,A,néant
tc0144-ARELQUIN,,H,valet,A,néant
tc0676-PIETREMISE,,H,procureur,A,néant
tc0676-CLEON,,H,bourgeois,A,amoureux
tc0676-BAZOCHE,,H,clerc,A,néant
tc0676-SAINT-GERMAIN,,H,valet,A,néant
tc0676-MADAME-RISSOLE,,H,bourgeois,A,amoureux
tc0676-LUCRECE,,H,bourgeois,A,amoureux
tc0676-SUZON,,H,bourgeois,A,amoureux
tc0676-ELISE,,H,bourgeois,A,amoureux
tc0676-LISETTE,,H,servante,A,néant
tc0546-MONSIEURJOSSE,,H,aristocrate,A,néant
tc0546-MADAMEJOSSE,,H,aristocrate,A,néant
tc0546-NANNETTE,,H,aristocrate,J,néant
tc0546-BABET,,H,aristocrate,J,néant
tc0546-MONSIEURBRICE,,H,avocat,A,néant
tc0546-MONSIEURDURUS,,H,aristocrate,A,néant
tc0546-MONSIEURDELORME,,H,aristocrate,A,néant
tc0546-MAROTEPOUSSINEAU,,H,bourgeois,J,néant
tc0546-MADAMEBRICE,,H,boucher,V,néant
tc0546-MONSIEURGRIFFET,,H,commissaire,A,néant
tc0546-NICODEME,,H,jardinier,A,néant
tc0546-ADRIENNE,,H,jardinier,A,néant
tc0546-NICOLE,,H,servante,A,néant
tc0546-CHAMPAGNE,,H,laquais,A,néant
tc0546-DESARCHERS,,H,archers,A,néant
tc0281-PHALANTE,,H,duc,A,
tc0281-HYDASPE,,H,aristocrate,A,
tc0281-IOLAS,,H,prince,A,
tc0281-CLARIDAN,,H,capitaine,A,
tc0281-BERENICE,,H,aristocrate,A,
tc0281-LEPAGE,,H,page,A,
tc0281-IOLANTE,,H,prince,A,
tc0281-LILIANE,,H,prince,A,
tc0281-LESMEDECINS,,H,médecin,A,
tc0281-CARINTE,,H,fille d'honneur,A,
tc0281-CLEONTE,,H,capitaine,A,
tc0281-ARONTE,,H,aristocrate,A,
tc0281-IARBE,,H,duc,A,
tc0281-LESSOLDATS,,H,soldat,A,
tc0281-MENANDRE,,H,confident,V,
tc0281-ALMEDOR,,H,aristocrate,A,
tc0095-PROLOGUE,,H,prologue,A,néant
tc0095-ABRAHAM,,H,berger,A,Sarah
tc0095-SARAH,,H,berger,A,néant
tc0095-ISAAC,,H,berger,E,néant
tc0095-TROUPEDEBERGERS,,H,berger,A,néant
